telaio
"0,0,0;0.4,0.4,0.4,0.4;7;6,6"
"18.2,0,0;0.4,0.4,0.4,0.4;3;6,6"
"0,4.4,0;0.4,0.4,0.4,0.4;7,7,3,3;6,6"
"0,8.8,0;0.4,0.4,0.4,0.4;7,7,3,3;6,6"
"0,0.4,6;0.4,4,0,0;7;0.4"
"18.2,0.4,6;0.4,4,0,0;3;0.4"
"0,4.8,6;0.4,4,0,0;14.4,6.4;0.4"
"0,0.4,12.4;0.4,4,0,0;7;0.4"
"18.2,0.4,12.4;0.4,4,0,0;3;0.4"
"0,4.8,12.4;0.4,4,0,0;14.4,6.4;0.4"
"0.4,0.4,6;3.5,4,0,0;0;0.4"
"18.6,0.4,6;1.5,4,0,0;0;0.4"
"0.4,4.8,6;7.2,4,0,0;0;0.4"
"15.2,4.8,6;3.2,4,0,0;0;0.4"
"0.4,0.4,12.4;3.5,4,0,0;0;0.4"
"18.6,0.4,12.4;1.5,4,0,0;0;0.4"
"0.4,4.8,12.4;7.2,4,0,0;0;0.4"
"15.2,4.8,12.4;3.2,4,0,0;0;0.4"
